date	from	text
2020-04-01T17:26:02	Бобылев Паша	До дома тогда, переоденусь к тебе
2020-04-02T21:32:36	Сорокин Андрей	Карантин до конца месяца Путин продлил
2020-04-02T21:32:54	Сорокин Андрей	Сидим кукуем
2020-04-02T21:33:27	Миша Трофимюк	дров хватит?)
2020-04-02T21:33:41	Сорокин Андрей	)))
2020-04-02T21:33:49	Миша Трофимюк	вектор бест реально без выходных шпарит?
2020-04-02T21:33:54	Сорокин Андрей	Хватит, не каждый день
2020-04-02T21:34:15	Сорокин Андрей	Я 2 дня подряд и уже сил нет, 1-2 раза в неделю
2020-04-02T21:34:26	Сорокин Андрей	Там более погода не всегда кайф
2020-04-02T21:34:37	Сорокин Андрей	В воскресенье норм будет
2020-04-02T21:34:52	Сорокин Андрей	Ну они тесты стали делать
2020-04-02T22:15:45	Бобылев Паша	Комплектация точно на выходных работает
2020-04-02T22:16:13	Бобылев Паша	Многих сотрудников из других лаб перекинули на производство тестов коронки
2020-04-02T22:16:41	Бобылев Паша	Плюс 10 майских, триллер
2020-04-03T01:12:40	Сорокин Андрей	ага) как бы майские не отменили
2020-04-13T21:27:24	Бобылев Паша	
2020-04-13T21:27:48	Сорокин Андрей	Йог блин
2020-04-14T01:16:10	Шмелёв Данил	Молодец)
2020-04-14T01:16:29	Шмелёв Данил	Я только в телефоне сижу)
2020-04-14T18:12:49	Сорокин Андрей	Говорят, что у на заболевший ходил на прием к вврачу, ему что-то прописали, потом через неделю повторно ходил, потом еще его отвезли в обланую, где он лежал с пневмонией в палате на 5 чел, и только потом у него определили короновирус.
2020-04-14T18:13:25	Сорокин Андрей	И тут вопрос не к больному, а к медикам, как они так, в такой ситуации относятся к пациентам!?
2020-04-14T18:13:46	Сорокин Андрей	Как в италии, сами заболеют а потом половину посетителей заразят
2020-04-14T20:02:56	Бобылев Паша	Андрей, сколько тебя ещё будет удивлять (возмущать) работа государственных учреждений в нашей любимой стране??)
2020-04-14T20:03:43	Бобылев Паша	Если у нас сами врачи заразили больше людей, чем сами люди друг друга
2020-04-14T20:04:10	Бобылев Паша	Относятся как привыкли)
2020-04-15T22:23:44	Шмелёв Данил	Он позвонил в больничку, сказал что у него признаки короны. Они спросили температуру. Он говорит 38. И они ему, ну норма или пешком. Он дошёл и час в очереди. Прописали фарингоскптом лечиться
2020-04-15T22:23:52	Шмелёв Данил	Ну и далее по тексту
2020-04-15T22:24:18	Шмелёв Данил	И врач которые его принял и сейчас принимает, просто под наблюдением
2020-04-15T22:24:24	Сорокин Андрей	Ага, вот и я про это
2020-04-15T22:24:30	Сорокин Андрей	Кто идиот
2020-04-15T22:24:32	Шмелёв Данил	Те если он болеет он тупо всех заражает
2020-04-15T22:24:39	Сорокин Андрей	Он или медздрав
2020-04-15T22:24:43	Шмелёв Данил	Зато врачи герои
2020-04-15T22:24:52	Шмелёв Данил	Им по 80к зп сделали
2020-04-15T22:25:01	Шмелёв Данил	А они наотъебись
2020-04-15T22:25:50	Сорокин Андрей	Ага, ну врачи и так норм работают, просто раздолбаи
2020-04-15T22:26:07	Шмелёв Данил	Проспект меня удивил
2020-04-15T22:26:29	Шмелёв Данил	Все огораживают детские площадки, а они вчера качели повесили
2020-04-16T11:06:17	Бобылев Паша	Предлагаю выходить на спортплощадку около рассветная 10 в хорошую погоду, разминать туловище
2020-04-16T12:15:22	Сорокин Андрей	Карантин же
2020-04-16T12:15:44	Бобылев Паша	И?
2020-04-16T12:17:56	Бобылев Паша	Доехал или дошёл 500 метров ни с кем не контактируя, позанимался часик, пришёл домой, помыл руки, все молодцы)
2020-04-16T12:18:24	Бобылев Паша	Я на веле обычно добираюсь
2020-04-16T15:49:55	Миша Трофимюк	"Самая лишенная площадка во дворе Рассветная 1а.
там даже для стеновой есть тренажер"
2020-04-16T16:00:31	Бобылев Паша	Можно проверить, главное чтобы народа было не много
2020-04-16T16:04:56	Миша Трофимюк	я хотел таким по утрам перед работой заниматься, чет уже 2-й месяц в 6 утра просыпаюсь
2020-04-16T18:01:02	Сорокин Андрей	Ничего ты, я сегодня в 9 встал, так после работы приехал и спать лёг)))
2020-04-17T08:25:13	Шмелёв Данил	Андрей, ты работаешь?
2020-04-17T08:25:35	Шмелёв Данил	Я так понял я один не работаю в карантин)) и один дома сижу
2020-04-17T11:26:24	Сорокин Андрей	Ага, работаю, но только то что в нск
2020-04-17T11:38:50	Бобылев Паша	Можно попробовать сегодня размяться, кто желает?
2020-04-17T23:38:57	Сорокин Андрей	Что ходил на турник?
2020-04-18T00:54:12	Шмелёв Данил	Я из дома не выхожу)
2020-04-18T09:37:41	Бобылев Паша	"Сходил, Миша прав, супер площадка 
Новая, просторная, много тренажеров, народу никакого, только немного мам с детьми по соседству"
2020-04-26T18:35:22	Сорокин Андрей	Михан
2020-04-26T18:35:33	Сорокин Андрей	А ты покрасить мангал хотел?
2020-04-26T18:35:57	Миша Трофимюк	да
2020-04-26T18:36:07	Миша Трофимюк	иначе он жестко заржавеет
2020-04-26T18:36:43	Сорокин Андрей	А что за краска?
2020-04-26T18:36:51	Сорокин Андрей	Из баллончика
2020-04-26T18:36:58	Миша Трофимюк	ну да,
2020-04-26T18:38:09	Сорокин Андрей	А, ну ок, а у нас в еноте продаётся?
2020-04-26T18:38:32	Миша Трофимюк	не знаю
2020-04-26T18:41:03	Сорокин Андрей	А как она, так и называется, термостойкая?
2020-04-26T18:41:49	Миша Трофимюк	ну да там часть можно и оьычной
2020-04-26T18:42:07	Миша Трофимюк	да термостойкая
2020-04-26T18:42:33	Сорокин Андрей	
2020-04-26T18:42:44	Сорокин Андрей	Срочно нужен мангал
2020-04-26T18:43:35	Миша Трофимюк	да, это хрень конечно)))
2020-04-29T00:38:30		
2020-05-01T16:50:18	Шмелёв Данил	
2020-05-01T16:50:26	Шмелёв Данил	Месяц дома
2020-05-01T16:50:33	Шмелёв Данил	Подстригся сам
2020-05-04T08:46:07	Бобылев Паша	С днём рождения!
2020-05-04T12:26:20	Alexander	Поздравляю, друг!
2020-05-04T12:33:40	Сорокин Андрей	Да, Даниил поздравляю с Днем Рождения!
2020-05-05T00:23:14	Шмелёв Данил	Спасибо)
2020-05-09T12:42:11	Alexander	"С праздником! 
Кто доставку заказывает где хавка итд? Или по старинке все?"
2020-05-09T14:26:55	Бобылев Паша	Готовим сами по старинке)
2020-05-09T17:30:08	Миша Трофимюк	Саня а где Вы сходили в прошлый раз когда сплавлялись от Плотниково?
2020-05-09T17:32:03	Alexander	
2020-05-09T17:35:46	Миша Трофимюк	а меня кто-нибудь сможет завтра подобрать в этом районе
2020-05-09T19:59:06	Бобылев Паша	скинь координаты, там норм дорога есть?
2020-05-19T15:47:36	Alexander	
2020-05-19T15:48:07	Alexander	Алтайский край)
2022-03-11T12:36:25	Dmitry Децина/M	
2022-03-11T14:25:46	Шмелёв Данил	😎
2022-03-11T14:49:40	Dmitry Децина/M	
2022-03-11T15:07:30	Сорокин Андрей	Прикольная предыдущая фотка
2022-03-11T15:08:24		
2022-03-11T15:08:47	Леха Писаренко	Йоба )
2022-03-11T15:11:16	Миша Трофимюк	
2022-03-11T15:11:32	Сорокин Андрей	
2022-03-11T15:12:44	Леха Писаренко	
2022-03-11T15:13:23	Dmitry Децина/M	
2022-03-11T15:13:24	Dmitry Децина/M	
2022-03-11T16:18:27	Шмелёв Данил	
2022-03-11T16:19:16	Шмелёв Данил	
2022-03-11T16:51:56	Dmitry Децина/M	
2022-03-11T16:55:59	Шмелёв Данил	Под окнами отдел полиции
2022-03-11T17:03:02	Dmitry Децина/M	
2022-03-11T17:05:43	Dmitry Децина/M	"Лыжи завтра с 11 бесплатная треня открытая.
Бассейн в вс в 12.30"
2022-03-11T19:20:57	Сорокин Андрей	Что сегодня в баню едем, Санек?
2022-03-11T19:37:05	Dmitry Децина/M	Я сегодня дома
2022-03-12T11:26:45	Dmitry Децина/M	
2022-03-12T12:02:37	Шмелёв Данил	Какие списки?
2022-03-12T12:02:49	Шмелёв Данил	Я завтра в аквин планировал в 18:00
2022-03-12T12:03:01	Шмелёв Данил	Лёха когда может?
2022-03-12T12:03:02	Леха Писаренко	Рано что-то
2022-03-12T12:03:11	Леха Писаренко	Я вот так же
2022-03-12T12:03:51	Dmitry Децина/M	
2022-03-12T12:12:17	Шмелёв Данил	В аквин? Сколько стоит?
2022-03-12T12:29:32	Dmitry Децина/M	
2022-03-12T20:15:56	Dmitry Децина/M	
2022-03-12T20:20:23	Миша Трофимюк	Возьми
2022-03-12T20:20:47	Миша Трофимюк	Попить, а пожрать можно заказать
2022-03-12T20:26:13	Dmitry Децина/M	
2022-03-12T20:27:11	Миша Трофимюк	
2022-03-12T20:27:25	Миша Трофимюк	
2022-03-12T20:29:05	Dmitry Децина/M	
2022-03-12T20:32:29	Миша Трофимюк	
2022-03-12T20:41:22	Миша Трофимюк	
2022-03-12T20:43:00	Миша Трофимюк	
2022-03-12T20:50:08	Dmitry Децина/M	
2022-03-12T20:50:52	Миша Трофимюк	Ща, я тогда минут через 10 приду изакажем
2022-03-12T21:30:50	Шмелёв Данил	Я подойду мин 30
2022-03-12T21:31:27	Миша Трофимюк	
2022-03-12T21:47:57	Alexander	
2022-03-13T00:25:19	Dmitry Децина/M	
2022-03-13T10:15:17	Dmitry Децина/M	
2022-03-13T12:08:24	Alexander	
2022-03-13T14:19:26	Dmitry Децина/M	
2022-03-13T16:26:22	Леха Писаренко	Данил, ты идешь?
2022-03-15T10:42:13	Dmitry Децина/M	
2022-03-15T16:08:49	Сорокин Андрей	
2022-03-15T16:10:26	Сорокин Андрей	
2022-03-15T16:28:03	Леха Писаренко	Хорош)
2022-03-15T18:36:51	Dmitry Децина/M	:)
2022-03-18T08:26:23	Dmitry Децина/M	
2022-03-18T08:27:21	Миша Трофимюк	
2022-03-18T08:28:14	Dmitry Децина/M	:)👏🏻🤗
2022-03-18T15:31:28	Сорокин Андрей	
2022-03-18T15:47:47	Миша Трофимюк	
2022-03-18T22:18:37	Alexander	
2022-03-19T10:11:30	Dmitry Децина/M	
2022-03-19T10:24:28	Шмелёв Данил	
2022-03-19T11:08:37	Миша Трофимюк	
2022-03-19T11:49:13	Dmitry Децина/M	
2022-03-19T11:49:39	Миша Трофимюк	)
2022-03-19T20:02:42	Dmitry Децина/M	
2022-03-19T20:03:20	Миша Трофимюк	Я не пом
2022-03-19T20:03:22	Миша Трофимюк	Ню
2022-03-19T20:04:20	Миша Трофимюк	Точно я??)
2022-03-19T20:04:55	Dmitry Децина/M	
2022-03-19T20:05:56	Миша Трофимюк	Группа ночной патруль
2022-03-21T23:33:11	Шмелёв Данил	⚡️Суд признал Meta экстремистской организацией, Facebook и Instagram запрещены. На WhatsApp решение не распространяется.
2022-03-21T23:33:24	Шмелёв Данил	
2022-03-21T23:33:55	Шмелёв Данил	Перебор
2022-03-21T23:36:33	Dmitry Децина/M	Лепить иконки можно как и прежде, но нужно писать под звёздочкой, мол, запрещена и признана экстремистской на территории РФ
2022-03-21T23:36:33	Шмелёв Данил	"Тверской суд Москвы удовлетворил иск генеральной прокуратуры и запретил деятельность социальных сетей Facebook и Instagram, принадлежащих компании Meta Platforms Inc., признав их экстремистскими, сообщили РБК в пресс-службе суда. Иск был связан с отказом удалить призывы к насилию в отношении россиян, в том числе военнослужащих.

«Запрещена деятельность американской транснациональной холдинговой компании Meta Platforms Inc. по реализации продуктов — социальных сетей Facebook и Instagram — на территории России по основаниям осуществления экстремистской деятельности. Настоящее решение не распространяется на деятельность мессенджера WhatsApp компании Meta ввиду отсутствия функций по публичному распространению информации», — заявили РБК в пресс-службе суда.

Пользователей не будут наказывать за использование соцсетей, уточнял в суде прокурор.

Но! законом предусмотрена уголовная ответственность за финансирование экстремистской деятельности (ст. 283 УК). К ней могут привлечь за «заказ рекламы в обеих социальных сетях либо за торговлю акциями Meta», пояснял Чиков в Telegram-канале."
2022-03-21T23:36:36	Dmitry Децина/M	:))
2022-03-22T09:18:37	Alexander	
2022-03-22T09:22:39	Alexander	Родителям проспект делает ремонт, снял для тех кто в процессе.
2022-03-22T09:32:14	Dmitry Децина/M	Прикольно
2022-03-22T09:33:31	Dmitry Децина/M	Обратил внимание на то, что полипропилен в штробах лежит в теплоизоляции 👍🏻. Мои не сообразили так проложить.
2022-03-22T09:39:22	Alexander	В целом зачем в изоляцию кутать их я хз. Этож квартира, теплопотерь нет особых.
2022-03-22T09:46:04	Бобылев Паша	Почитал на форумах, конденсат плюс сырость, поэтому изолируют
2022-03-22T09:47:03	Бобылев Паша	Плюс есть запас для небольшой деформации от нагрева
2022-03-22T09:47:16	Alexander	Про конденсат норм
2022-03-22T10:07:49	Dmitry Децина/M	А ещё когда две трассы рядом, то холодная вода от горячей греется
2022-03-22T10:08:15	Dmitry Децина/M	И чем длиннее трасса, тем дольше пропускать нужно воду, чтобы пошла холодная.
2022-03-22T10:31:46	Леха Писаренко	Ну или горячая об холодную остывает)
2022-03-22T10:32:39	Alexander	Согласно законам физики скорее так)
2022-03-22T19:40:47	Бобылев Паша	
2022-03-22T19:49:27	Бобылев Паша	По моему уже был случай в современной истории, что полит заключённый становился президентом)
2022-03-22T19:49:50	Сорокин Андрей	Мандела
2022-03-22T19:50:53	Бобылев Паша	Можем повторить)
2022-03-22T19:51:18	Леха Писаренко	(нет) 😄
2022-03-22T19:51:46	Бобылев Паша	Почему нет?)
2022-03-22T19:51:57	Леха Писаренко	Ну а почему да?
2022-03-22T19:52:40	Леха Писаренко	Ну хотя если полуфиналист высшей лиги КВН стал президентом - я уже ничему не удивлюсь
2022-03-22T19:55:32	Бобылев Паша	"А лживый кгбшник тебя впечатляет?
Для чувства юмора интеллект нужен, поэтому его и выбрали"
2022-03-22T19:56:11	Леха Писаренко	У Пыни с чю вроде все нормально )
2022-03-22T19:58:10	Бобылев Паша	Считаю те, кто наравне с ним интеллектуально)
2022-03-22T20:09:06	Бобылев Паша	Навальный юрист, плюс финансовое образование
2022-03-22T20:12:50	Бобылев Паша	КВН не единственное достижение, если то о Зеленском
2022-03-22T20:13:15	Dmitry Децина/M	Хоть что-то предложил он кроме всех воров посадить, олигархов от кормушки отлучить и т.д.? Позитивная повестка интересна.
2022-03-22T20:14:03	Dmitry Децина/M	Не, Зеленского я нам точно не желаю.
2022-03-22T20:14:54	Леха Писаренко	Вот что будет )
2022-03-22T20:15:20	Dmitry Децина/M	Хахаха :)))
2022-03-22T20:15:46	Бобылев Паша	Так это основное, что мешает появляться разумным предложениям
2022-03-22T20:16:22	Dmitry Децина/M	Вот это и страшно. Что даже те, кто следит за Навальным, не знают чего он собирается делать? ))
2022-03-22T20:16:54	Бобылев Паша	А кто не следит, тот знает)
2022-03-22T20:19:11	Dmitry Децина/M	Не, я без шуток. Я не знаю чего он хочет кроме как разрушить то, что ему не нравится. Допустим в какой-то мере я согласен с тем, что нужно менять какие-то вещи. Но на что он их собирается менять я вот не понимаю. И мне никто из тех, кто за него топит так и не объяснил. Хотя я искренне спрашиваю. Мне интересно было бы посмотреть. Но не вижу никакой позитивной повестки.
2022-03-22T20:20:20	Бобылев Паша	Он всегда добивался чёрных открытых выборов в рамках закона, это единственное, чего он хотел, он не рвётся за руль, ни разу не слышал об этом
2022-03-22T20:20:27	Бобылев Паша	Честных*
2022-03-22T20:22:45	Dmitry Децина/M	Дак вот в том и дело. И не надо ему туда - за руль )
2022-03-22T20:23:02	Dmitry Децина/M	Пусть главой Центризбиркома становится
2022-03-22T20:23:04	Dmitry Децина/M	))
2022-03-22T20:23:31	Dmitry Децина/M	Чёт мне кажется, он не согласится
2022-03-22T20:23:43	Dmitry Децина/M	Хотя хз. Вряд-ли ему предлагали :)))
2022-03-23T10:59:26	Dmitry Децина/M	
2022-03-23T11:12:44	Alexander	Митьк по тик току скучает)
2022-03-23T11:17:05	Dmitry Децина/M	
2022-03-23T13:47:12	Alexander	
2022-03-23T14:36:34	Dmitry Децина/M	
2022-03-23T16:01:46	Сорокин Андрей	Ну что на этих выхах соберёмся в баню, в воскресенье солнце обещают
2022-03-23T16:02:59	Леха Писаренко	Да, го
2022-03-23T16:03:11	Alexander	в вскр все наверно с семьями будут.
2022-03-23T16:03:13	Леха Писаренко	Последний солнечный день, да?)
2022-03-23T16:03:16	Сорокин Андрей	Надо ехать, возможно ещё в субботу будет погода отличная,
2022-03-23T16:03:36	Сорокин Андрей	Ну я не здел, вот неделя тучи и снег
2022-03-23T16:03:47	Сорокин Андрей	И до конца недели тут и снег
2022-03-23T16:04:01	Сорокин Андрей	А так то на солнышке погреться хочется
2022-03-23T16:40:15	Сорокин Андрей	
2022-03-23T16:40:37	Сорокин Андрей	Импортзамещение говорили они, а в итоге бумагу офисную сделать не можем
2022-03-23T16:40:56	Бобылев Паша	Леса нет
2022-03-23T16:41:12	Леха Писаренко	На бересте пиши )
2022-03-23T16:41:32	Миша Трофимюк	Лес есть, отбеливателя нет
2022-03-23T16:41:41	Сорокин Андрей	Мозгов нет
2022-03-23T16:41:44	Бобылев Паша	А лес сожгли
2022-03-23T16:42:18	Бобылев Паша	Читал сегодня, что снова пожары в Забайкалье
2022-03-23T17:45:13	Dmitry Децина/M	Да ну, чё к чему? Просто мировое разделение труда никто не отменял. Кто-то лес пилит, кто-то отбеливатель делает.
2022-03-23T17:47:42	Dmitry Децина/M	Тут просто все связи обрубили, кто-то под давлением, кто-то на хайпе. Но против экономики не попрешь: либо сделают свой. Либо будут покупать, возможно даже тот же, но дороже :)
2022-03-23T17:51:27	Шмелёв Данил	
2022-03-23T18:00:28	Dmitry Децина/M	
2022-03-23T18:03:09	Миша Трофимюк	И выглядит))
2022-03-23T18:19:03	Леха Писаренко	
2022-03-23T18:38:29	Dmitry Децина/M	
2022-03-23T18:39:17	Dmitry Децина/M	Я уже года два жду, чтобы выложить это как реакцию на что-нибудь шуточку, но то вы не шутите, то я забываю и вспышку пропускаю. Леха победил. Ему и хахашечка.
2022-03-23T19:08:46	Сорокин Андрей	Так я по то же, если вы планируете, что вам обрубятсвчзи будте добры подготовиться. О каких сверх достижениях может идти речь, если у нас тут в моменте с бумагой проблема
2022-03-23T20:50:49	Dmitry Децина/M	Я думаю, те кто бумагой занимается, не были в курсе всей движухи :)
2022-03-24T08:13:45	Миша Трофимюк	
2022-03-24T08:25:50	Бобылев Паша	Поздравления вашей семье! Нужно в баню собраться по такому поводу)
2022-03-24T08:45:26	Миша Трофимюк	🤝
2022-03-24T09:02:41	Alexander	Малышке здоровья, счастья и любящих родителей!)
2022-03-24T09:05:48	Dmitry Децина/M	
2022-03-24T12:34:40	Шмелёв Данил	
2022-03-24T12:36:43	Леха Писаренко	
2022-03-24T12:37:15	Шмелёв Данил	
2022-03-24T12:39:35	Шмелёв Данил	
2022-03-24T12:42:11	Миша Трофимюк	Полина
2022-03-24T15:01:02	Сорокин Андрей	
2022-03-24T15:01:05	Сорокин Андрей	
2022-03-24T15:02:53	Шмелёв Данил	У меня у жены сегодня ДР
2022-03-24T15:03:00	Шмелёв Данил	В один день
2022-03-24T15:03:42	Сорокин Андрей	Поздравь от нас!
2022-03-24T15:22:48	Леха Писаренко	
2022-03-24T15:25:57	Миша Трофимюк	Спасибо!
2022-03-24T19:46:18	Сорокин Андрей	Я с Мишей спал, он приболел и дома сидит
2022-03-24T19:46:39	Сорокин Андрей	Ребят а у кого какой банк? Какие отзывы?
2022-03-24T19:48:17	Dmitry Децина/M	Сбербанк отзывы кайф
2022-03-24T19:48:19	Dmitry Децина/M	:)))
2022-03-24T19:49:22	Леха Писаренко	Сбер и тинек. Отзывы чьи? Мои? Всё збс
2022-03-24T19:49:58	Dmitry Децина/M	От работы года два назад был Открытие
2022-03-24T19:50:04	Dmitry Децина/M	Вот это было не очень
2022-03-24T19:51:57	Миша Трофимюк	У нас альфа - норм
2022-03-24T20:02:37	Alexander	С годик пользовался банк авангард это пиздец)
2022-03-24T20:02:49	Alexander	В плане удобства
2022-03-24T20:04:04	Alexander	Чтобы выполнить операцию надо было подтвердить ее кодом с карточки, на которой стираются поля. То есть вместо смс была карточка такая.
2022-03-24T20:05:28	Alexander	Как лотерейный билет)
2022-03-24T20:22:03	Леха Писаренко	Ты неплохо продержался, целый год)
2022-03-25T22:59:37	Сорокин Андрей	Привет
2022-03-25T22:59:48	Сорокин Андрей	Ну что там на счёт бани в воскресенье
2022-03-26T00:18:26	Миша Трофимюк	Я своих с роддома забираю,
2022-03-26T11:16:20	Alexander	А во сколько кто может?
2022-03-26T11:24:21	Dmitry Децина/M	
2022-03-26T11:25:54	Леха Писаренко	Удачки тебе!)
2022-03-26T11:38:28	Сорокин Андрей	О Митяй, уже полетели? Удачи с поездкой, через что летите?
2022-03-26T11:38:30	Шмелёв Данил	Удачи!!!
2022-03-26T11:38:44	Сорокин Андрей	Я днем могу и вечером
2022-03-26T11:47:16	Dmitry Децина/M	
2022-03-26T11:48:03	Dmitry Децина/M	Кстати, в аэропорту уже вообще все без масок
2022-03-26T11:48:17	Dmitry Децина/M	В самолёте с масками одна пятая
2022-03-26T11:48:33	Dmitry Децина/M	У меня соседка кашляет, поэтому я поберегусь
2022-03-26T17:36:48	Сорокин Андрей	)))
2022-03-26T17:36:54	Сорокин Андрей	Ага, я так же летал
2022-03-26T17:37:28	Сорокин Андрей	Что-то вы рано
2022-03-26T17:40:38	Сорокин Андрей	Так что, я все за баню топлю, погнали кто остался, только Митяй и михан отписались
2022-03-26T17:41:36	Леха Писаренко	Я тоже отписываюсь, у меня сифа
2022-03-26T18:00:14	Dmitry Децина/M	Короче, с7 чёт на всем экономит. Раньше ходили воду соки предлагали, теперь только вода, после еды чай зелёный или черный, кофе только черный. Лимона нет, молока нет, сливок нет. Хорошо хоть еда ещё норм, а то я уж думал бутер принесут какой-нибудь))
2022-03-26T20:41:05	Dmitry Децина/M	
2022-03-26T21:03:32	Сорокин Андрей	Блин, то что сливок нет это облом и соков нет тоже облом. Ну такие времена, чтобы в цене удержаться. Хотя бы ещё летают
2022-03-26T21:04:15	Сорокин Андрей	А где остановились?
2022-03-27T09:19:40	Dmitry Децина/M	В гостинице Select рядом с Павелецким, чтобы далеко от аэроэкспресса не добираться.
2022-03-27T09:21:40	Dmitry Децина/M	В мск 5.20 до завтрака ещё два часа, а мы уже на бодряках )
2022-03-27T09:27:22	Миша Трофимюк	Доброе утро!
2022-03-27T09:47:17	Alexander	Мы с детьми на дачу поедем. Кто хочет подтягивайтесь в любом составе. Может баню истопим.
2022-03-27T09:47:38	Alexander	Всем добрый 🤞
2022-03-27T11:26:23	Шмелёв Данил	Басик идём?
2022-03-27T11:26:47	Леха Писаренко	Я сегодня не, сифа
2022-03-27T11:28:08	Alexander	Леха че за сифа? Нос не отваливается?
2022-03-27T11:28:25	Леха Писаренко	Да простуда
2022-03-27T12:08:39	Сорокин Андрей	Мы бы приехали
2022-03-27T12:14:04	Alexander	Ну мы выезжаем уже, будем до 16-17 где то
2022-03-28T11:34:19	Alexander	За мешками поеду седня. Никому не нужны? По 5 руб
2022-03-28T11:34:20	Alexander	
2022-03-28T13:22:34	Сорокин Андрей	Можешь мне на 50 руб взять
2022-03-28T15:10:11	Dmitry Децина/M	
2022-03-28T15:10:12	Dmitry Децина/M	
2022-03-28T15:11:10	Леха Писаренко	
2022-03-28T15:12:04	Сорокин Андрей	Всем привет!
2022-03-28T15:12:13	Сорокин Андрей	Леха ты из дома работаешь?
2022-03-28T15:12:19	Dmitry Децина/M	Обязательно:)
2022-03-28T15:12:59	Леха Писаренко	Ага
2022-03-29T13:58:55	Dmitry Децина/M	Ну короче, в маске примерно каждый сотый
2022-03-29T14:05:48	Dmitry Децина/M	
2022-03-29T14:07:42	Dmitry Децина/M	
2022-03-29T14:09:18	Сорокин Андрей	Так там же отменили
2022-03-29T14:10:01	Сорокин Андрей	Корону, как экстремистскую организацию)))
2022-03-29T14:14:05	Dmitry Децина/M	Ха-ха-ха-ха)
2022-03-30T03:08:59	Dmitry Децина/M	
2022-03-30T03:10:25	Сорокин Андрей	
2022-03-30T03:10:39	Сорокин Андрей	Кстати много вещей с собой взяли?
2022-03-30T22:16:48	Dmitry Децина/M	Да. Нам согласовали 13 мест. Из наши 12 и одно сборное из Москвы для посольства.
2022-03-30T22:16:49	Dmitry Децина/M	Вот таких 11 коробок+ чемодан. Почти все от 20 до 23 кг )
2022-03-30T22:16:49	Dmitry Децина/M	Упаковывали максимально, потому что чет ребята работающие там говорили берите по максимуму, тут мол хер чё найдешь, а если найдешь, то качество так себе, а если качество Гуд, то стоит как самолёт.
2022-03-30T22:16:49	Dmitry Децина/M	И это, корректировка, по видосу из самолёта. Я думал это Боинг, а оказалось Эйрбас был.
2022-03-30T22:16:50	Dmitry Децина/M	
2022-03-30T22:16:53	Dmitry Децина/M	
2022-03-30T22:16:57	Dmitry Децина/M	
2022-03-30T22:17:01	Dmitry Децина/M	
2022-03-30T22:45:08	Сорокин Андрей	Abudla tobublab
2022-03-30T22:45:42	Сорокин Андрей	Cs с данилом там были лет 8 назад
2022-03-30T22:47:11	Сорокин Андрей	каждый день катались
2022-03-30T22:49:21	Dmitry Децина/M	
2022-03-30T22:49:29	Dmitry Децина/M	
2022-03-30T23:00:13	Dmitry Децина/M	
2022-03-30T23:02:04	Dmitry Децина/M	
2022-03-30T23:40:53	Шмелёв Данил	Ага мы были в первом вагоне
2022-03-30T23:41:25	Шмелёв Данил	Там кайф, но еда дорогая
2022-03-30T23:43:01	Шмелёв Данил	
2022-03-30T23:43:10	Шмелёв Данил	Такие воспоминания ))
2022-03-31T00:06:59	Сорокин Андрей	))) Данил еще молодой)
2022-03-31T00:07:13	Сорокин Андрей	ага помню ели в индуских кафехах
